bv_id,oid,level,root_rpid,rpid,parent_rpid,uid,uname,user_level,ctime,like,message
BV1iofBYsEyc,113875739480800,1,252700663057,252700663057,0,477166396,Forever_Blili,6,1737699673,339,"有个最经典的问题，你没学过编程其实问你都问不准。目前的AI与其说是有思考能力，不如说是一个基于提示词推断的大型图结构的能够快速查询总结一个数据库。可以说程序员在广度方面肯定不能达到AI，但是对于现实意义方面还有一些特殊问题方面远远超出AI。
其实我还有一个暴论，当AI能够完全取代程序员的那一天，所以非纯体力劳动的工作都可以被AI取代，甚至包括一些体力劳动(因为现在有些机器做不出来或者应用不到市场中，问题并不是在于执行操作不能够实现，而是临机决策能力不够(像自动驾驶，不考虑路上安全决策问题的话，我拿个东西压在油门上它也无人驾驶了[doge]），能完全替代程序员时，自主决策能力肯定是更上一层楼了）。程序员有些时候不单单是写程序的工作，还包括设计程序和作取舍的工作。就像绘画，设计一样，你让AI画一个房屋设计图不难，但是绝对是东拼西凑出来的，当然稳定性也不差，但是就是没有设计性和艺术性。
就像现在一些机器的维修，是换哪些螺丝换哪些零件的机器做不出来，还是机器无法准确判断哪些零件要换和哪些螺丝要拧开做不出来，肯定是后者。所以当AI完全替代所有程序员的时候，就是这些困难对于Ai不再是困难的时候，那个时候人类要么集中于AI的训练和监控工作，要么就是从事机器成本远高于人工成本的超重体力工作。
这个有没有可能实现呢？有可能，但是肯定还要一段时间接"
BV1iofBYsEyc,113875739480800,2,252700663057,253417649712,252700663057,444153318,MicroCoding,4,1737788536,5,现阶段AI确实要比百度，github，stackoverflow方便的多
BV1iofBYsEyc,113875739480800,2,252700663057,253496032256,252700663057,434463830,Comism,6,1737860793,6,[doge]我想法和你差不多，我也觉得如果ai能完全取代程序员的时候，那世界上大部分的工作都能被取代了
BV1iofBYsEyc,113875739480800,2,252700663057,252886194721,252700663057,360298272,浮芒Friman,6,1737868836,45,"1. llm不是图结构
2. llm不快
3. llm本身不做查询任务
4. llm不是数据库
一句话里错误密度高的离谱"
BV1iofBYsEyc,113875739480800,2,252700663057,252908079697,252700663057,477166396,Forever_Blili,6,1737885452,12,"感谢指正，其实我想用这个方式讲，是基于我们领域去理解的。简单来说，就是我不知道他的定义是什么样的，但是基于它的功能结合自己领域的知识做的一个理解性的东西。
就好比说，我不知道什么是脾酒，但是我喝过脾酒，在没有化学领域知识的情况下，我只能基于我的生活经验说感觉这就是一个黄色的，有一定香味的，能够让大脑晕乎乎的一个水一样。但是标准来说，这个描述肯定是错的，酒不是水，然后也不是黄色的，甚至那个气味也不是香味。
 为什么我感觉是图结构，因为我看过知识图谱，里面是一个大型的类似于图结构的推断。快是基于AI的使用，在AI的问答使用过程中，回答是迅速的。但是我记得没错的话，llm真正把模型导出来应用过程并不慢吧，只是模型的训练过程非常慢。
 做查询任务的肯定不是llm，但是AI和llm二者不是等同关系对吧，我一直在描述的是AI，并没有细化到是llm，nlp，lsmt等等具体内容的说明，因为自己并不是这个领域的人，只是闲暇时了解，拓宽视野用的。
  数据库这个肯定不是，但是他的功能在使用上来看很像查库，把库里面的内容查出来进行人类语言构造，但是在我并不知道专有名词去说明时，就只能用自己知道的相似概念去理解。就好像不知道酒是乙醇的人一样，我知道水，酒和水有很大相似性，那么我在理解时候把酒去认为是一种特殊的水其实可能还更有益于去思考。"
BV1iofBYsEyc,113875739480800,2,252700663057,253674902960,252700663057,261485825,歪脖叁,6,1738005470,9,现在的AI，就拿写代码来说。你当然可以去看各种官方库文档（比如我这两天在写基于pyqt6的一个GUI界面），一点点的搞定整体代码。但是，AI的意义在于，你给他直接说让它给你写个什么东西，他能节省你99%的去查官方库、去谷歌搜索这方面的时间。
BV1iofBYsEyc,113875739480800,2,252700663057,253148102161,252700663057,375736886,耻人愚夫,5,1738115029,1,[笑哭]大型检索目录
BV1iofBYsEyc,113875739480800,2,252700663057,253148710529,252700663057,81423991,爱收藏的花儿,6,1738115830,8,其实你应该对你的这种思想感到害怕，我觉得当它能够达到人的取舍程度的时候，那它就不再是一个空壳，而是具备创造能力的人，这时候的它将凌驾于人类，那你会对智商仅次于你但对你有威胁的人做什么？1.尽自己的可能去排挤它，2.如果有能力干掉它，3.想办法把自己保全。所以电影里的终结者是AI具备人性后的结果，当然这可能只是其中之一，但以人类的发展去看，这可能是唯一。必然会发生
BV1iofBYsEyc,113875739480800,2,252700663057,253880422384,252700663057,38688428,决不三省,6,1738206942,2,没抡过大锤的，乱抡会闪了腰
BV1iofBYsEyc,113875739480800,2,252700663057,253882920768,252700663057,37330503,止藥做自己,6,1738208777,1,对啊，你没学过编程你甚至连需求都没法准确描述，哪怕你提出来了，你都不清楚他能不能实现，你得在他能实现的条件下提需求才行[笑哭]
